statement,explanation,label,input_text
He gave a nail to the cat,A cat may step on a nail,0,He gave a nail to the cat A cat may step on a nail
He gave a nail to the cat,A cat can sit near a nail,0,He gave a nail to the cat A cat can sit near a nail
He gave a nail to the cat,Cats don't eat the nails,1,He gave a nail to the cat Cats don't eat the nails
he carried a car in his arms,he cannot carry car in his arms as they are bigger and haevier,1,he carried a car in his arms he cannot carry car in his arms as they are bigger and haevier
he carried a car in his arms,Cars usually have four wheels,0,he carried a car in his arms Cars usually have four wheels
he carried a car in his arms,cars do not breathe,0,he carried a car in his arms cars do not breathe
I live inside a cactus.,The cactus is alive.,0,I live inside a cactus. The cactus is alive.
I live inside a cactus.,I do not fit inside a cactus.,1,I live inside a cactus. I do not fit inside a cactus.
I live inside a cactus.,Cactuses have spikes.,0,I live inside a cactus. Cactuses have spikes.
He went to the dentist because he was sick,A dentist normally removes the plaque from your teeth,0,He went to the dentist because he was sick A dentist normally removes the plaque from your teeth
He went to the dentist because he was sick,A dentist could be any race or nationality,0,He went to the dentist because he was sick A dentist could be any race or nationality
He went to the dentist because he was sick,A dentist cannot treat you when you are sick,1,He went to the dentist because he was sick A dentist cannot treat you when you are sick
You can start a fire if you boil water.,You can't set water on fire.,1,You can start a fire if you boil water. You can't set water on fire.
You can start a fire if you boil water.,Water can put out fire.,0,You can start a fire if you boil water. Water can put out fire.
You can start a fire if you boil water.,Fire is hotter than water.,0,You can start a fire if you boil water. Fire is hotter than water.
Hannah was late to school because she missed the helicopter,Students don't use helicopters to get to school.,1,Hannah was late to school because she missed the helicopter Students don't use helicopters to get to school.
Hannah was late to school because she missed the helicopter,Buses are yellow and helicopters fly in the sky.,0,Hannah was late to school because she missed the helicopter Buses are yellow and helicopters fly in the sky.
Hannah was late to school because she missed the helicopter,Buses are long and helicopters are short.,0,Hannah was late to school because she missed the helicopter Buses are long and helicopters are short.
Kevin threw his foot.,His foot had 10 toes.,0,Kevin threw his foot. His foot had 10 toes.
Kevin threw his foot.,You cannot detach and throw your own foot.,1,Kevin threw his foot. You cannot detach and throw your own foot.
Kevin threw his foot.,His feet were big.,0,Kevin threw his foot. His feet were big.
Ice cream is hot,there is no ice cream which is hot,1,Ice cream is hot there is no ice cream which is hot
Ice cream is hot,people eat cold ice creams in hot weather,0,Ice cream is hot people eat cold ice creams in hot weather
Ice cream is hot,cold ice cream melts when it gets hot,0,Ice cream is hot cold ice cream melts when it gets hot
You would fly a cat because you want have fun,flying a cat is not fun,0,You would fly a cat because you want have fun flying a cat is not fun
You would fly a cat because you want have fun,cats always land on their feet,0,You would fly a cat because you want have fun cats always land on their feet
You would fly a cat because you want have fun,cats cannot be flown,1,You would fly a cat because you want have fun cats cannot be flown
Chains can secure a shoe.,Chains are too heavy for shoes.,1,Chains can secure a shoe. Chains are too heavy for shoes.
Chains can secure a shoe.,Shoes don't need to be secured.,0,Chains can secure a shoe. Shoes don't need to be secured.
Chains can secure a shoe.,Chains will stay loose.,0,Chains can secure a shoe. Chains will stay loose.
Hammers are vegetables,yams are usually white while hammers are gray,0,Hammers are vegetables yams are usually white while hammers are gray
Hammers are vegetables,Hammers are not food,1,Hammers are vegetables Hammers are not food
Hammers are vegetables,a hammer can't eat a yam,0,Hammers are vegetables a hammer can't eat a yam
She took a fresh cloth for washing,A washing machine can wash cloths,0,She took a fresh cloth for washing A washing machine can wash cloths
She took a fresh cloth for washing,People like to wear different kind of dresses,0,She took a fresh cloth for washing People like to wear different kind of dresses
She took a fresh cloth for washing,A fresh cloths need not be washed,1,She took a fresh cloth for washing A fresh cloths need not be washed
ice is made in the oven,the oven is in the kitchen,0,ice is made in the oven the oven is in the kitchen
ice is made in the oven,I heat frozen food in the oven,0,ice is made in the oven I heat frozen food in the oven
ice is made in the oven,oven is used to heat,1,ice is made in the oven oven is used to heat
He watched a leopard race a runner.,A leopard  is a cat and runner is a person.,0,He watched a leopard race a runner. A leopard  is a cat and runner is a person.
He watched a leopard race a runner.,A leopard cannot compliment a runner,0,He watched a leopard race a runner. A leopard cannot compliment a runner
He watched a leopard race a runner.,A leopard is much faster than a runner.,1,He watched a leopard race a runner. A leopard is much faster than a runner.
She flew the big gray tractor to Texas,There are too many tractors in texas,0,She flew the big gray tractor to Texas There are too many tractors in texas
She flew the big gray tractor to Texas,Tractors can not fly,1,She flew the big gray tractor to Texas Tractors can not fly
She flew the big gray tractor to Texas,Only green tractors can fly that far,0,She flew the big gray tractor to Texas Only green tractors can fly that far
He eats a pen in the evening,Some pens looks like eatables,0,He eats a pen in the evening Some pens looks like eatables
He eats a pen in the evening,All eatable items are not pens,0,He eats a pen in the evening All eatable items are not pens
He eats a pen in the evening,A pen is not an eatable item,1,He eats a pen in the evening A pen is not an eatable item
The man drove the pig,Pigs are not vehicles,1,The man drove the pig Pigs are not vehicles
The man drove the pig,Pigs are not very fast,0,The man drove the pig Pigs are not very fast
The man drove the pig,Pigs are pink,0,The man drove the pig Pigs are pink
I climbed the flower to pick the apple,Flowers are too small and fragile to climb,1,I climbed the flower to pick the apple Flowers are too small and fragile to climb
I climbed the flower to pick the apple,A tree was once as small as a flower,0,I climbed the flower to pick the apple A tree was once as small as a flower
I climbed the flower to pick the apple,Flowers and Trees are both plants,0,I climbed the flower to pick the apple Flowers and Trees are both plants
She bought her neighbor's child.,No one can buy a child.,1,She bought her neighbor's child. No one can buy a child.
She bought her neighbor's child.,The neighbor's child is very annoying.,0,She bought her neighbor's child. The neighbor's child is very annoying.
She bought her neighbor's child.,A child cannot buy a real car.,0,She bought her neighbor's child. A child cannot buy a real car.
Humans use carbon dioxide to breathe,Oxygen is more important than carbon dioxide,0,Humans use carbon dioxide to breathe Oxygen is more important than carbon dioxide
Humans use carbon dioxide to breathe,Breathing is the action of bringing in oxygen and flushing out carbon dioxide.,1,Humans use carbon dioxide to breathe Breathing is the action of bringing in oxygen and flushing out carbon dioxide.
Humans use carbon dioxide to breathe,Consuming a lot of carbon dioxide might kill you,0,Humans use carbon dioxide to breathe Consuming a lot of carbon dioxide might kill you
Eighty seconds old is a mighty old age to be.,Sometimes seconds feel like minutes.,0,Eighty seconds old is a mighty old age to be. Sometimes seconds feel like minutes.
Eighty seconds old is a mighty old age to be.,Eighty seconds is not a long period of time.,1,Eighty seconds old is a mighty old age to be. Eighty seconds is not a long period of time.
Eighty seconds old is a mighty old age to be.,Old age is relativistic based on the number of seconds you have lived.,0,Eighty seconds old is a mighty old age to be. Old age is relativistic based on the number of seconds you have lived.
A bracelet is worn on top of a head.,Bracelets are jewelry.,0,A bracelet is worn on top of a head. Bracelets are jewelry.
A bracelet is worn on top of a head.,Bracelets are worn on the wrist.,1,A bracelet is worn on top of a head. Bracelets are worn on the wrist.
A bracelet is worn on top of a head.,Bracelets would fall of a persons head.,0,A bracelet is worn on top of a head. Bracelets would fall of a persons head.
He drove a car into the ocean.,Cars run on gas and the ocean is made of saltwater.,0,He drove a car into the ocean. Cars run on gas and the ocean is made of saltwater.
He drove a car into the ocean.,The car doesn't run if you fill it with saltwater.,0,He drove a car into the ocean. The car doesn't run if you fill it with saltwater.
He drove a car into the ocean.,Cars don't work in the ocean.,1,He drove a car into the ocean. Cars don't work in the ocean.
Playing guitar is making pizza,Guitarists usually like pizza,0,Playing guitar is making pizza Guitarists usually like pizza
Playing guitar is making pizza,Pizza is good food for a guitarist,0,Playing guitar is making pizza Pizza is good food for a guitarist
Playing guitar is making pizza,Playing a musical instrument does not make food,1,Playing guitar is making pizza Playing a musical instrument does not make food
the sun shines at night,the day sun is dangerous for people,0,the sun shines at night the day sun is dangerous for people
the sun shines at night,at night only the moon shines,1,the sun shines at night at night only the moon shines
the sun shines at night,the sun emits strong day radiation,0,the sun shines at night the sun emits strong day radiation
he caught a car in his hands,cars can move fast and so can balls,0,he caught a car in his hands cars can move fast and so can balls
he caught a car in his hands,you use your hands to drive a car and throw a ball,0,he caught a car in his hands you use your hands to drive a car and throw a ball
he caught a car in his hands,a car is too big to catch in your hands,1,he caught a car in his hands a car is too big to catch in your hands
A whale is walking aside me., it lives in the sea.,0,A whale is walking aside me.  it lives in the sea.
A whale is walking aside me.,The whale doesn't walk,1,A whale is walking aside me. The whale doesn't walk
A whale is walking aside me.,A whale eats fish,0,A whale is walking aside me. A whale eats fish
It was too windy so she opened the window.,"On a windy day, opening the window makes it cooler.",0,"It was too windy so she opened the window. On a windy day, opening the window makes it cooler."
It was too windy so she opened the window.,Opening the window would let more wind in.,1,It was too windy so she opened the window. Opening the window would let more wind in.
It was too windy so she opened the window.,The wind may bring bugs into an open window.,0,It was too windy so she opened the window. The wind may bring bugs into an open window.
People go to movie theaters to swim.,Movie theaters are dark while pools are well lit.,0,People go to movie theaters to swim. Movie theaters are dark while pools are well lit.
People go to movie theaters to swim.,Movie theaters have attendants but pools have life guards.,0,People go to movie theaters to swim. Movie theaters have attendants but pools have life guards.
People go to movie theaters to swim.,Movie theaters don't have pools in them.,1,People go to movie theaters to swim. Movie theaters don't have pools in them.
he defended himself with a blueberry,blueberries can be the same color as a gun,0,he defended himself with a blueberry blueberries can be the same color as a gun
he defended himself with a blueberry,blueberries are meant to be used for food not defense,1,he defended himself with a blueberry blueberries are meant to be used for food not defense
he defended himself with a blueberry,they are both held with hands,0,he defended himself with a blueberry they are both held with hands
Couches produce steam.,Couches are not hot and do not produce steam.,1,Couches produce steam. Couches are not hot and do not produce steam.
Couches produce steam.,"Couches are sometimes made of leather, which does not produce steam.",0,"Couches produce steam. Couches are sometimes made of leather, which does not produce steam."
Couches produce steam.,Couches do not drink hot tea and produce steam.,0,Couches produce steam. Couches do not drink hot tea and produce steam.
I use the computer mouse with my molar teeth with my mouth wide open.,Molar teeth are too large to click the right mouse button.,0,I use the computer mouse with my molar teeth with my mouth wide open. Molar teeth are too large to click the right mouse button.
I use the computer mouse with my molar teeth with my mouth wide open.,You would be unable to operate the computer mouse with your mouth or your teeth.,1,I use the computer mouse with my molar teeth with my mouth wide open. You would be unable to operate the computer mouse with your mouth or your teeth.
I use the computer mouse with my molar teeth with my mouth wide open.,The computer mouse does not taste pleasant in your mouth when operating the computer mouse with your teeth.,0,I use the computer mouse with my molar teeth with my mouth wide open. The computer mouse does not taste pleasant in your mouth when operating the computer mouse with your teeth.
Sally used her socks to protect herself from the rain.,Socks are too small to protect a whole person from the rain.,0,Sally used her socks to protect herself from the rain. Socks are too small to protect a whole person from the rain.
Sally used her socks to protect herself from the rain.,"Socks absorb water, umbrellas displace water.",0,"Sally used her socks to protect herself from the rain. Socks absorb water, umbrellas displace water."
Sally used her socks to protect herself from the rain.,Socks do not protect from rain.,1,Sally used her socks to protect herself from the rain. Socks do not protect from rain.
buying a lot of merchandise can land a person in jail,a person only lands in jail if they buy a little merchandise,0,buying a lot of merchandise can land a person in jail a person only lands in jail if they buy a little merchandise
buying a lot of merchandise can land a person in jail,it is legal to buy merchandise so a person cannot land in jail for that,1,buying a lot of merchandise can land a person in jail it is legal to buy merchandise so a person cannot land in jail for that
buying a lot of merchandise can land a person in jail,no merchandise is sold in jail,0,buying a lot of merchandise can land a person in jail no merchandise is sold in jail
She flew her dog to the park,"Dogs are fluffy, but trees have leaves.",0,"She flew her dog to the park Dogs are fluffy, but trees have leaves."
She flew her dog to the park,Dogs don't fly,1,She flew her dog to the park Dogs don't fly
She flew her dog to the park,Dogs and trees have different types of barks.,0,She flew her dog to the park Dogs and trees have different types of barks.
Mary ate a rock.,Mary wear a pink skirt while a rock is grey.,0,Mary ate a rock. Mary wear a pink skirt while a rock is grey.
Mary ate a rock.,A rock cannot eat a person.,0,Mary ate a rock. A rock cannot eat a person.
Mary ate a rock.,People can't eat rocks because they cannot digest them.,1,Mary ate a rock. People can't eat rocks because they cannot digest them.
Estrogen is a hormone also found in men.,Estrogen is actually a hormone found in women.,1,Estrogen is a hormone also found in men. Estrogen is actually a hormone found in women.
Estrogen is a hormone also found in men.,Men and women can have different levels of each of these hormones causing them to either be more feminine or masculine.,0,Estrogen is a hormone also found in men. Men and women can have different levels of each of these hormones causing them to either be more feminine or masculine.
Estrogen is a hormone also found in men.,"Masculinity is a character trait that is linked to mostly men, however sometimes a butch woman can be connected to this trait.",0,"Estrogen is a hormone also found in men. Masculinity is a character trait that is linked to mostly men, however sometimes a butch woman can be connected to this trait."
He checked his sunglasses to see the time.,Sunglasses doesn't work as a watch unlike reading glasses.,0,He checked his sunglasses to see the time. Sunglasses doesn't work as a watch unlike reading glasses.
He checked his sunglasses to see the time.,One can not check the time from their sunglasses,1,He checked his sunglasses to see the time. One can not check the time from their sunglasses
He checked his sunglasses to see the time.,Sunglasses are not the right size.,0,He checked his sunglasses to see the time. Sunglasses are not the right size.
Cowboys used to ride their bears in the mountains,Some people have a bear as a pet,0,Cowboys used to ride their bears in the mountains Some people have a bear as a pet
Cowboys used to ride their bears in the mountains,The cowboy was attacked by the bear,0,Cowboys used to ride their bears in the mountains The cowboy was attacked by the bear
Cowboys used to ride their bears in the mountains,Bears are not domesticated animals,1,Cowboys used to ride their bears in the mountains Bears are not domesticated animals
he grew vegetable in the paper,paper is made of tree and vegetable is grown from tree,0,he grew vegetable in the paper paper is made of tree and vegetable is grown from tree
he grew vegetable in the paper,paper is mostly white and vegetable color depends on the plant,0,he grew vegetable in the paper paper is mostly white and vegetable color depends on the plant
he grew vegetable in the paper,paper is not a container,1,he grew vegetable in the paper paper is not a container
His house got flooded when the lightning stuck during thunderstorm,Usually there will be thunderstorms and lightning whenever it is raining,0,His house got flooded when the lightning stuck during thunderstorm Usually there will be thunderstorms and lightning whenever it is raining
His house got flooded when the lightning stuck during thunderstorm,Heavy rain fall for long duration causes flood which may flood the house,1,His house got flooded when the lightning stuck during thunderstorm Heavy rain fall for long duration causes flood which may flood the house
His house got flooded when the lightning stuck during thunderstorm,Thunderstorm alone cannot cause flood if there is no rainfall along with it,0,His house got flooded when the lightning stuck during thunderstorm Thunderstorm alone cannot cause flood if there is no rainfall along with it
School is an institution for accomodation,Hotel is a place for accommodation,1,School is an institution for accomodation Hotel is a place for accommodation
School is an institution for accomodation,A school can accommodate many students,0,School is an institution for accomodation A school can accommodate many students
School is an institution for accomodation,Some schools collect money from parents,0,School is an institution for accomodation Some schools collect money from parents
Children are more independent than adults.,Children are not as mentally developed as adults.,1,Children are more independent than adults. Children are not as mentally developed as adults.
Children are more independent than adults.,"Independent adults don't stop mentally developing, just like children.",0,"Children are more independent than adults. Independent adults don't stop mentally developing, just like children."
Children are more independent than adults.,Independent adults help children mentally develop.,0,Children are more independent than adults. Independent adults help children mentally develop.
Eggs come from mammals,Cooked fish eggs are called caviar,0,Eggs come from mammals Cooked fish eggs are called caviar
Eggs come from mammals,"Eggs come from birds, reptiles, and fish",1,"Eggs come from mammals Eggs come from birds, reptiles, and fish"
Eggs come from mammals,Eggs are usually eaten for breakfast,0,Eggs come from mammals Eggs are usually eaten for breakfast
My sister went to a concert to watch her favorite cat sing,"A cat is an animal, therefore she can't sing",1,"My sister went to a concert to watch her favorite cat sing A cat is an animal, therefore she can't sing"
My sister went to a concert to watch her favorite cat sing,"Cats are usually cute, people not so much",0,"My sister went to a concert to watch her favorite cat sing Cats are usually cute, people not so much"
My sister went to a concert to watch her favorite cat sing,People can't eat cats,0,My sister went to a concert to watch her favorite cat sing People can't eat cats
Trains track your browsing history.,Trains have secrets to hide too.,0,Trains track your browsing history. Trains have secrets to hide too.
Trains track your browsing history.,A train can not surf the internet.,1,Trains track your browsing history. A train can not surf the internet.
Trains track your browsing history.,Trains are the secret you are hiding.,0,Trains track your browsing history. Trains are the secret you are hiding.
I brought a football to study.,football is in round shape while book is in rectangle.,0,I brought a football to study. football is in round shape while book is in rectangle.
I brought a football to study.,Book is  used to study and football is used to play.,1,I brought a football to study. Book is  used to study and football is used to play.
I brought a football to study.,"football is used to kick, while book is used to read.",0,"I brought a football to study. football is used to kick, while book is used to read."
We drove the airplane on the highway.,An airplane is faster than a car.,0,We drove the airplane on the highway. An airplane is faster than a car.
We drove the airplane on the highway.,Many people like to fly in a plane.,0,We drove the airplane on the highway. Many people like to fly in a plane.
We drove the airplane on the highway.,An airplane flies in the air.,1,We drove the airplane on the highway. An airplane flies in the air.
I will go take a shower before mowing the yard.,"I will get dirty mowing the yard, then I will need a shower.",1,"I will go take a shower before mowing the yard. I will get dirty mowing the yard, then I will need a shower."
I will go take a shower before mowing the yard.,The shower is indoors and the yard is not.,0,I will go take a shower before mowing the yard. The shower is indoors and the yard is not.
I will go take a shower before mowing the yard.,The grass will clog the shower.,0,I will go take a shower before mowing the yard. The grass will clog the shower.
people cry in a comedy show,people go to comedy show to be happy and laugh not to cry,1,people cry in a comedy show people go to comedy show to be happy and laugh not to cry
people cry in a comedy show,maybe someone remember a bad memory in comedy show and cry,0,people cry in a comedy show maybe someone remember a bad memory in comedy show and cry
people cry in a comedy show,some people cry instead of laughing when they are so happy,0,people cry in a comedy show some people cry instead of laughing when they are so happy
He inserted a hamster into the gun.,Hamsters are kept as pets while guns are kept for defense.,0,He inserted a hamster into the gun. Hamsters are kept as pets while guns are kept for defense.
He inserted a hamster into the gun.,A hamster cannot fit into a gun.,1,He inserted a hamster into the gun. A hamster cannot fit into a gun.
He inserted a hamster into the gun.,Hamsters do not sleep inside guns.,0,He inserted a hamster into the gun. Hamsters do not sleep inside guns.
The dog enjoys chewing on a rock.,"Rocks are round, but a dog's teeth are sharp.",0,"The dog enjoys chewing on a rock. Rocks are round, but a dog's teeth are sharp."
The dog enjoys chewing on a rock.,Rocks are too hard and unpleasant for dogs to chew on.,1,The dog enjoys chewing on a rock. Rocks are too hard and unpleasant for dogs to chew on.
The dog enjoys chewing on a rock.,A dog doesn't want to join a rock band.,0,The dog enjoys chewing on a rock. A dog doesn't want to join a rock band.
I want a new galaxy,Galaxies can't fit in a computer,0,I want a new galaxy Galaxies can't fit in a computer
I want a new galaxy,It's absurd to have a galaxy,1,I want a new galaxy It's absurd to have a galaxy
I want a new galaxy,A computer is much more fast than a galaxy,0,I want a new galaxy A computer is much more fast than a galaxy
You can use a carrot to do your homework.,A carrot is bigger than a pencil.,0,You can use a carrot to do your homework. A carrot is bigger than a pencil.
You can use a carrot to do your homework.,You can't write with a carrot.,1,You can use a carrot to do your homework. You can't write with a carrot.
You can use a carrot to do your homework.,A carrot is orange in color.,0,You can use a carrot to do your homework. A carrot is orange in color.
You need to put a earphone on a dog to walk them.,A earphone cannot allow a dog to be walked by a human.,1,You need to put a earphone on a dog to walk them. A earphone cannot allow a dog to be walked by a human.
You need to put a earphone on a dog to walk them.,Earphones are usually plastic while dog leashes are made with fabric.,0,You need to put a earphone on a dog to walk them. Earphones are usually plastic while dog leashes are made with fabric.
You need to put a earphone on a dog to walk them.,Earphones cannot guide a dog.,0,You need to put a earphone on a dog to walk them. Earphones cannot guide a dog.
lions eat salmon,salmon is too big for a lion to eat,0,lions eat salmon salmon is too big for a lion to eat
lions eat salmon,a salmon can't live where a lion lives,1,lions eat salmon a salmon can't live where a lion lives
lions eat salmon,salmon can fly away if attacked,0,lions eat salmon salmon can fly away if attacked
He picks his 7-years kid from pub regularly.,"Kids normally go to school daily, while pubs are for adults.",1,"He picks his 7-years kid from pub regularly. Kids normally go to school daily, while pubs are for adults."
He picks his 7-years kid from pub regularly.,Kids are curious to go to a pub.,0,He picks his 7-years kid from pub regularly. Kids are curious to go to a pub.
He picks his 7-years kid from pub regularly.,Most of the kids these days don't like school.,0,He picks his 7-years kid from pub regularly. Most of the kids these days don't like school.
The mall is likely to find you on a sidewalk.,The mall has people to please the sidewalks.,0,The mall is likely to find you on a sidewalk. The mall has people to please the sidewalks.
The mall is likely to find you on a sidewalk.,People have sidewalks to please the mall,0,The mall is likely to find you on a sidewalk. People have sidewalks to please the mall
The mall is likely to find you on a sidewalk.,Shopping has sidewalks for people to transit.,1,The mall is likely to find you on a sidewalk. Shopping has sidewalks for people to transit.
It is warmer in Alaska than Hawaii.,The sun doesn't shine in Alaska.,0,It is warmer in Alaska than Hawaii. The sun doesn't shine in Alaska.
It is warmer in Alaska than Hawaii.,Alaska is more north than Hawaii.,1,It is warmer in Alaska than Hawaii. Alaska is more north than Hawaii.
It is warmer in Alaska than Hawaii.,There are more heaters in Hawaii.,0,It is warmer in Alaska than Hawaii. There are more heaters in Hawaii.
A wall clock is used to wash vessels.,A wall clock has three hands.,0,A wall clock is used to wash vessels. A wall clock has three hands.
A wall clock is used to wash vessels.,Some wall clocks can be water resistant.,0,A wall clock is used to wash vessels. Some wall clocks can be water resistant.
A wall clock is used to wash vessels.,A wall clock only shows time it is not capable of doing actions.,1,A wall clock is used to wash vessels. A wall clock only shows time it is not capable of doing actions.
Last night she slept on the fan,Without turning fan on she cant never catch sleep,0,Last night she slept on the fan Without turning fan on she cant never catch sleep
Last night she slept on the fan,Its impossible sleep on a fan,1,Last night she slept on the fan Its impossible sleep on a fan
Last night she slept on the fan,There are many different type of fans in market,0,Last night she slept on the fan There are many different type of fans in market
I wrote a letter with a ruler.,A ruler does not leave marks on paper.,1,I wrote a letter with a ruler. A ruler does not leave marks on paper.
I wrote a letter with a ruler.,My ruler is much longer than the pen.,0,I wrote a letter with a ruler. My ruler is much longer than the pen.
I wrote a letter with a ruler.,Pens could also write on rulers.,0,I wrote a letter with a ruler. Pens could also write on rulers.
You can find a giraffe in a supermarket,A giraffe is not sold at a supermarket,1,You can find a giraffe in a supermarket A giraffe is not sold at a supermarket
You can find a giraffe in a supermarket,A giraffe is a wild animal,0,You can find a giraffe in a supermarket A giraffe is a wild animal
You can find a giraffe in a supermarket,A giraffe can eat bananas,0,You can find a giraffe in a supermarket A giraffe can eat bananas
Bob turned on the TV with his old land line phone.,Old land line phones don't operate other electronics.,1,Bob turned on the TV with his old land line phone. Old land line phones don't operate other electronics.
Bob turned on the TV with his old land line phone.,The old land line phone pointed at the TV so it should turn on.,0,Bob turned on the TV with his old land line phone. The old land line phone pointed at the TV so it should turn on.
Bob turned on the TV with his old land line phone.,Both the old land line phone and the TV are electronics.,0,Bob turned on the TV with his old land line phone. Both the old land line phone and the TV are electronics.
She stuck the flamingo in her car to start the engine.,A flamingo likes to stand on one leg.,0,She stuck the flamingo in her car to start the engine. A flamingo likes to stand on one leg.
She stuck the flamingo in her car to start the engine.,A flamingo cannot make a car start.,1,She stuck the flamingo in her car to start the engine. A flamingo cannot make a car start.
She stuck the flamingo in her car to start the engine.,Flamingos are pink birds.,0,She stuck the flamingo in her car to start the engine. Flamingos are pink birds.
The baby drove all the way to Arkansas.,A baby would cry the whole trip,0,The baby drove all the way to Arkansas. A baby would cry the whole trip
The baby drove all the way to Arkansas.,Baby car seats are not meant for the drivers seat,0,The baby drove all the way to Arkansas. Baby car seats are not meant for the drivers seat
The baby drove all the way to Arkansas.,Babies do not drive cars.,1,The baby drove all the way to Arkansas. Babies do not drive cars.
Candace is stoned because she smoked a giraffe,Giraffes are yellow and weed is green,0,Candace is stoned because she smoked a giraffe Giraffes are yellow and weed is green
Candace is stoned because she smoked a giraffe,A giraffe can't be smoked,1,Candace is stoned because she smoked a giraffe A giraffe can't be smoked
Candace is stoned because she smoked a giraffe,Giraffes can't smoke weed,0,Candace is stoned because she smoked a giraffe Giraffes can't smoke weed
Children like to play with sharks,children are usually small while sharks are grey,0,Children like to play with sharks children are usually small while sharks are grey
Children like to play with sharks,children cannot eat a shark,0,Children like to play with sharks children cannot eat a shark
Children like to play with sharks,it would be dangerous and unusual for a child to play with a shark,1,Children like to play with sharks it would be dangerous and unusual for a child to play with a shark
he played football with his bike,Bike is bigger than football,0,he played football with his bike Bike is bigger than football
he played football with his bike,Bike is not a human being to play with,1,he played football with his bike Bike is not a human being to play with
he played football with his bike,football mostly comes in white color and bike is mostly in black,0,he played football with his bike football mostly comes in white color and bike is mostly in black
Classical music is easy to learn,It takes years to learn classical music,1,Classical music is easy to learn It takes years to learn classical music
Classical music is easy to learn,Classical music doesn't just have a note,0,Classical music is easy to learn Classical music doesn't just have a note
Classical music is easy to learn,Classical music is not for raves,0,Classical music is easy to learn Classical music is not for raves
The ocean levels rise after ice freezes from the poles.,Ice takes away volume from the ocean,1,The ocean levels rise after ice freezes from the poles. Ice takes away volume from the ocean
The ocean levels rise after ice freezes from the poles.,The ocean dislikes ice,0,The ocean levels rise after ice freezes from the poles. The ocean dislikes ice
The ocean levels rise after ice freezes from the poles.,Ice cannot form on the equator.,0,The ocean levels rise after ice freezes from the poles. Ice cannot form on the equator.
He had stone for dessert.,Desserts are tasty but stones aren't.,0,He had stone for dessert. Desserts are tasty but stones aren't.
He had stone for dessert.,No one wants to eat a stone.,1,He had stone for dessert. No one wants to eat a stone.
He had stone for dessert.,Stones are harder than desserts.,0,He had stone for dessert. Stones are harder than desserts.
Watch is a food thing,Watch is electronic but food is life,0,Watch is a food thing Watch is electronic but food is life
Watch is a food thing,Watch is usually no variety but food as variety,1,Watch is a food thing Watch is usually no variety but food as variety
Watch is a food thing,Watch cannot eat as a food,0,Watch is a food thing Watch cannot eat as a food
He put the dirty clothes in the refrigerator,A refrigerator is to big for the dirty clothes,0,He put the dirty clothes in the refrigerator A refrigerator is to big for the dirty clothes
He put the dirty clothes in the refrigerator,Dirty clothes won't get clean in the refrigerator,1,He put the dirty clothes in the refrigerator Dirty clothes won't get clean in the refrigerator
He put the dirty clothes in the refrigerator,The refrigerator isn't the right temperature to clean the dirty clothes,0,He put the dirty clothes in the refrigerator The refrigerator isn't the right temperature to clean the dirty clothes
"To make lemonade, you have to start with onions","Lemons are very tasty, onions are disgusting",0,"To make lemonade, you have to start with onions Lemons are very tasty, onions are disgusting"
"To make lemonade, you have to start with onions",Lemonade is made out of lemons,1,"To make lemonade, you have to start with onions Lemonade is made out of lemons"
"To make lemonade, you have to start with onions",Lemons are yellow,0,"To make lemonade, you have to start with onions Lemons are yellow"
Dogs have feathers.,Dogs have four legs.,0,Dogs have feathers. Dogs have four legs.
Dogs have feathers.,Dogs are man's best friend.,0,Dogs have feathers. Dogs are man's best friend.
Dogs have feathers.,Dogs have fur.,1,Dogs have feathers. Dogs have fur.
A woman eats a plastic cookie,Women didn't eat cookie,0,A woman eats a plastic cookie Women didn't eat cookie
A woman eats a plastic cookie,Women hate green food,0,A woman eats a plastic cookie Women hate green food
A woman eats a plastic cookie,Plastic isn't edible,1,A woman eats a plastic cookie Plastic isn't edible
Donald Trump is the Prime Minister of the UK,President Trump is old,0,Donald Trump is the Prime Minister of the UK President Trump is old
Donald Trump is the Prime Minister of the UK,Donald Trump succeeded President Obama,1,Donald Trump is the Prime Minister of the UK Donald Trump succeeded President Obama
Donald Trump is the Prime Minister of the UK,President Trump is alive.,0,Donald Trump is the Prime Minister of the UK President Trump is alive.
I drink a football,Footballs cannot be drunk.,1,I drink a football Footballs cannot be drunk.
I drink a football,Footballs don't have mouths.,0,I drink a football Footballs don't have mouths.
I drink a football,Coffee doesn't play football.,0,I drink a football Coffee doesn't play football.
Whenever I feel pressed I go to the kitchen to urinate.,Human Bodies are washed in the bathroom while human foods are washed in the kitchen.,0,Whenever I feel pressed I go to the kitchen to urinate. Human Bodies are washed in the bathroom while human foods are washed in the kitchen.
Whenever I feel pressed I go to the kitchen to urinate.,The Kitchen has no hardware for the collection and disposal of urine.,1,Whenever I feel pressed I go to the kitchen to urinate. The Kitchen has no hardware for the collection and disposal of urine.
Whenever I feel pressed I go to the kitchen to urinate.,Urine can easily be contaminated by bacterials and should be avoided contaminating our food through our kitchen.,0,Whenever I feel pressed I go to the kitchen to urinate. Urine can easily be contaminated by bacterials and should be avoided contaminating our food through our kitchen.
he ordered sandwich from the saloon,sandwich is made of bread and saloon in built with brick,0,he ordered sandwich from the saloon sandwich is made of bread and saloon in built with brick
he ordered sandwich from the saloon,saloon is a place for grooming,1,he ordered sandwich from the saloon saloon is a place for grooming
